roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
58,52,22.88,19.5,50.32,54826.72,56067.020000000004,73200.0,1240.300000000003,2.262218130138011,17132.979999999996,30.558035722248118,23818.117439999998,36491.274560000005,37855.60456000001,56701.88256
59,53,23.32,19.5,50.32,55016.520000000004,56284.380000000005,73640.0,1267.8600000000006,2.304507809654265,17355.619999999995,30.835588843654303,23960.40816,36557.76384000001,37952.40984000001,57043.59184
60,54,23.76,19.5,50.32,55206.32,56501.740000000005,74080.0,1295.4200000000055,2.3465067043048795,17578.259999999995,31.111006492897374,24102.69888,36624.253119999994,38049.21512000001,57385.301120000004
61,54,23.76,19.5,50.32,55206.32,56501.740000000005,74080.0,1295.4200000000055,2.3465067043048795,17578.259999999995,31.111006492897374,24102.69888,36624.253119999994,38049.21512000001,57385.301120000004
62,55,24.2,19.5,50.32,55396.119999999995,56719.100000000006,74520.0,1322.9800000000105,2.3882178029797223,17800.899999999994,31.38431322076689,24244.989599999997,36690.7424,38146.02040000001,57727.0104
63,56,24.64,19.5,50.32,55585.92,56936.46000000001,74960.0,1350.5400000000081,2.4296440537459993,18023.539999999994,31.655533203153112,24387.280319999998,36757.231680000004,38242.82568000001,58068.71968
64,57,25.080000000000002,19.5,50.32,55775.72,57153.82000000001,75400.0,1378.1000000000058,2.470788364542862,18246.179999999993,31.924690248175867,24529.57104,36823.720960000006,38339.63096000001,58410.428960000005
65,58,25.52,19.5,50.32,55965.520000000004,57371.18,75840.0,1405.6599999999962,2.511653603861799,18468.82,32.19180780315134,24671.86176,36890.21024000001,38436.43624,58752.13824
66,59,25.96,19.5,50.32,56155.32,57588.54,76280.0,1433.2200000000012,2.5522426014133677,18691.46,32.456908961401,24814.152479999997,36956.69952,38533.24152,59093.84752
67,60,26.4,19.5,50.32,56345.119999999995,57805.9,76720.0,1460.780000000006,2.5925581487802427,18914.1,32.72001646890715,24956.443199999998,37023.1888,38630.04680000001,59435.556800000006
68,61,26.84,19.5,50.32,56534.92,58023.26,77160.0,1488.3400000000038,2.6326030000573164,19136.739999999998,32.981152730818636,25098.73392,37089.67808,38726.852080000004,59777.26608
69,62,27.28,19.5,50.32,56724.72,58240.62,77600.0,1515.9000000000015,2.6723798724788796,19359.379999999997,33.240339817811,25241.02464,37156.16736000001,38823.65736,60118.97536
70,63,27.72,19.5,50.32,56914.520000000004,58457.98,78040.0,1543.4599999999991,2.711891447033198,19582.019999999997,33.497599472304714,25383.31536,37222.65664000001,38920.462640000005,60460.68464
71,63,27.72,19.5,50.32,56914.520000000004,58457.98,78040.0,1543.4599999999991,2.711891447033198,19582.019999999997,33.497599472304714,25383.31536,37222.65664000001,38920.462640000005,60460.68464
72,64,28.16,19.5,50.32,57104.32,58675.340000000004,78480.0,1571.020000000004,2.7511403690649043,19804.659999999996,33.752953114545214,25525.606079999998,37289.14592,39017.267920000006,60802.39392
73,65,28.6,19.5,50.32,57294.119999999995,58892.700000000004,78920.0,1598.580000000009,2.7901292488653446,20027.299999999996,34.00642184854828,25667.896800000002,37355.63519999999,39114.0732,61144.1032
74,66,29.04,19.5,50.32,57483.92,59110.060000000005,79360.0,1626.1400000000067,2.828860662251299,20249.939999999995,34.25802646791425,25810.18752,37422.12448,39210.87848000001,61485.81248
